fecha,producto,cantidad,precio
2024-07-09,B,4,20.0
2024-07-18,B,2,20.0
2024-07-19,A,5,10.0
2024-07-19,B,2,20.0
2024-07-22,D,3,25.0
2024-07-23,B,3,20.0
2024-07-29,D,5,25.0
2024-07-30,B,5,20.0
2024-08-02,A,4,10.0
2024-08-02,A,5,10.0
2024-08-03,A,2,10.0
2024-08-04,B,1,20.0
2024-08-05,D,4,25.0
2024-08-07,B,2,20.0
2024-08-07,D,4,25.0
2024-08-09,B,4,20.0
2024-08-12,D,4,25.0
2024-08-14,B,4,20.0
2024-08-15,D,1,25.0
2024-08-26,C,1,15.0
2024-08-26,D,5,25.0
2024-08-28,B,1,20.0
2024-09-02,A,5,10.0
2024-09-05,D,2,25.0
2024-09-07,C,1,15.0
2024-09-09,D,4,25.0
2024-09-13,B,1,20.0
2024-09-14,C,5,15.0
2024-09-17,D,5,25.0
2024-09-24,A,3,10.0
2024-10-09,B,4,20.0
2024-10-13,B,1,20.0
2024-10-19,B,5,20.0
2024-10-20,A,1,10.0
2024-10-20,A,1,10.0
2024-10-22,D,5,25.0
2024-10-22,B,3,20.0
2024-10-28,A,2,10.0
2024-10-30,C,3,15.0
2024-10-31,A,5,10.0
2024-11-01,A,4,10.0
2024-11-03,A,5,10.0
2024-11-10,C,2,15.0
2024-11-15,C,3,15.0
2024-11-17,B,3,20.0
2024-11-20,C,5,15.0
2024-11-22,A,5,10.0
2024-11-27,D,5,25.0
2024-11-29,A,2,10.0
2024-11-30,B,3,20.0
2024-12-02,C,1,15.0
2024-12-03,A,2,10.0
2024-12-04,C,1,15.0
2024-12-06,C,4,15.0
2024-12-09,B,3,20.0
2024-12-09,D,1,25.0
2024-12-18,D,1,25.0
2024-12-21,A,4,10.0
2024-12-22,B,3,20.0
2024-12-23,B,3,20.0
2024-12-25,C,2,15.0
2024-12-31,A,2,10.0
2025-01-10,A,3,10.0
2025-01-12,A,5,10.0
2025-01-14,B,2,20.0
2025-01-19,C,5,15.0
2025-01-20,D,2,25.0
2025-01-22,B,2,20.0
2025-01-28,B,2,20.0
2025-01-29,A,3,10.0
2025-02-01,D,2,25.0
2025-02-08,D,2,25.0
2025-02-08,B,1,20.0
2025-02-09,B,2,20.0
2025-02-12,D,3,25.0
2025-02-12,C,5,15.0
2025-02-13,A,1,10.0
2025-02-13,B,3,20.0
2025-02-26,C,4,15.0
2025-02-28,C,1,15.0
2025-03-01,D,5,25.0
2025-03-04,A,5,10.0
2025-03-09,B,1,20.0
2025-03-11,D,4,25.0
2025-03-12,D,3,25.0
2025-03-12,B,4,20.0
2025-03-13,A,5,10.0
2025-03-17,C,3,15.0
2025-03-19,B,3,20.0
2025-03-20,D,5,25.0
2025-03-22,C,1,15.0
2025-03-29,A,3,10.0
2025-03-31,C,1,15.0
2025-03-31,A,3,10.0
2025-04-01,B,1,20.0
2025-04-03,C,2,15.0
2025-04-07,B,4,20.0
2025-04-08,C,2,15.0
2025-04-10,A,3,10.0
2025-04-10,A,5,10.0
2025-04-13,C,5,15.0
2025-04-14,B,5,20.0
2025-04-15,C,4,15.0
2025-04-22,D,2,25.0
2025-04-22,D,2,25.0
2025-04-26,D,2,25.0
2025-05-02,D,5,25.0
2025-05-05,D,4,25.0
2025-05-06,B,5,20.0
2025-05-13,D,2,25.0
2025-05-14,D,5,25.0
2025-05-20,D,1,25.0
2025-05-21,B,1,20.0
2025-05-23,B,4,20.0
2025-05-25,A,4,10.0
2025-05-30,B,1,20.0
2025-05-31,C,4,15.0
2025-06-03,B,4,20.0
2025-06-05,A,2,10.0
2025-06-08,C,3,15.0
2025-06-11,C,5,15.0
2025-06-11,D,5,25.0
2025-06-13,B,2,20.0
2025-06-14,D,1,25.0
2025-06-15,D,3,25.0
2025-06-15,C,1,15.0
2025-06-21,D,2,25.0
2025-06-27,B,3,20.0
2025-06-27,B,4,20.0
2025-06-29,D,2,25.0
2025-06-29,D,5,25.0
2025-07-10,C,4,15.0
2025-07-13,A,3,10.0
2025-07-14,C,4,15.0
2025-07-16,D,1,25.0
2025-07-16,B,2,20.0
2025-07-18,D,5,25.0
2025-07-24,D,2,25.0
2025-07-30,D,2,25.0
2025-08-02,B,3,20.0
2025-08-03,A,4,10.0
2025-08-09,D,4,25.0
2025-08-11,D,2,25.0
2025-08-11,D,3,25.0
2025-08-19,D,5,25.0
2025-08-27,C,1,15.0
2025-08-28,B,4,20.0
2025-09-04,C,5,15.0
2025-09-05,B,4,20.0
2025-09-06,C,5,15.0
2025-09-08,A,2,10.0
2025-09-12,A,2,10.0
2025-09-13,D,2,25.0
2025-09-19,A,2,10.0
2025-09-19,A,2,10.0
2025-09-20,A,2,10.0
2025-09-23,D,3,25.0
2025-09-23,A,3,10.0
2025-09-24,A,5,10.0
2025-09-25,A,1,10.0
2025-09-25,A,2,10.0
2025-09-30,A,3,10.0
2025-10-04,D,4,25.0
2025-10-12,A,5,10.0
2025-10-14,B,2,20.0
2025-10-15,D,4,25.0
2025-10-17,A,3,10.0
2025-10-20,C,5,15.0
2025-10-21,C,4,15.0
2025-10-22,D,3,25.0
2025-10-28,A,4,10.0
2025-11-03,B,2,20.0
2025-11-09,A,4,10.0
2025-11-09,C,5,15.0
2025-11-11,D,1,25.0
2025-11-16,B,2,20.0
2025-11-16,D,5,25.0
2025-11-18,C,1,15.0
2025-11-23,B,4,20.0
2025-11-25,B,4,20.0
2025-11-26,C,3,15.0
2025-11-28,C,2,15.0
2025-11-28,D,3,25.0
2025-12-04,B,2,20.0
2025-12-04,C,5,15.0
2025-12-04,C,2,15.0
2025-12-07,B,2,20.0
2025-12-08,C,3,15.0
2025-12-09,D,5,25.0
2025-12-10,A,2,10.0
2025-12-10,C,3,15.0
2025-12-10,B,1,20.0
2025-12-12,C,4,15.0
2025-12-14,C,5,15.0
2025-12-16,C,5,15.0
2025-12-22,C,5,15.0
2025-12-23,D,2,25.0
2025-12-26,D,1,25.0
